"Company_Name","Ticker","Sub_Sector","Market_Cap","Close_Price","PE_Ratio","5Y_Historical_Revenue_Growth","1Y_Forward_Revenue_Growth","Total_Revenue","PBT","Taxes_And_Other_Items","DII_Holding_Change_3M","FII_Holding_Change_3M","MF_Holding_Change_3M","Promoter_Holding_Change_3M","Percentage_Buy_Records","No_Of_Analysts_With_Buy_Reco","Percentage Upside"
"Reliance Industries Ltd","RELIANCE","Oil & Gas - Refining & Marketing",1778090.092,2712.2,29.29066951,17.9364979,30.53551161,718061.0,84142.0,23437.0,0.321531688,-0.314310575,0.04011194,-0.048110864,77.41935484,24,3.163483519
"Tata Consultancy Services Ltd","TCS","IT Services & Consulting",1241655.017,3397.35,32.39635288,9.886695907,13.29505752,195772.0,51687.0,13360.0,0.224108933,-0.442994682,-0.039568698,0.0,51.2195122,21,1.549737295
"HDFC Bank Ltd","HDFCBANK","Private Banks",891794.7543,1597.85,23.43575048,14.24219272,-27.60081708,167695.4,50873.38,12820.63,0.595936259,-0.183021442,-0.025811549,-0.087276142,91.89189189,34,14.21597772
"Infosys Ltd","INFY","IT Services & Consulting",680667.9124,1629.05,30.78552295,11.61870846,18.12891331,123936.0,30110.0,8000.0,9.126799211,-0.422683485,0.230754336,-0.000644447,80.95238095,34,2.974126024
"ICICI Bank Ltd","ICICIBANK","Private Banks",653338.2571,946.75,26.0189325,6.796087786,-49.98364187,157536.32,34241.28,9131.17,-0.531888286,1.21607929,-0.398559905,0.0,97.5,39,14.4969633
"Hindustan Unilever Ltd","HINDUNILVR","FMCG - Household Products",592991.9281,2634.2,66.78589121,9.348279577,10.75163197,52887.0,11879.0,3000.0,-0.445644192,0.738666392,0.063047221,0.0,71.79487179,28,8.382051477
"State Bank of India","SBIN","Public Banks",542852.6495,608.55,15.34614381,6.385751271,-32.3123937,406973.09,49738.63,14364.75,0.309808066,0.335333395,0.113967958,-0.047525281,95.23809524,40,17.49239997
"Bharti Airtel Ltd","BHARTIARTL","Telecom Services",483495.4801,835.85,113.6326306,4.135738484,13.88752331,122048.4,12483.1,8228.2,-1.331374456,3.339041962,-1.404902995,-0.799122895,80.0,24,10.30687324
"Housing Development Finance Corporation Ltd","HDFC","Home Financing",483449.4696,2665.25,21.3965967,18.86273518,-83.89215365,144937.87,28251.82,5657.13,0.066225345,0.024778902,-0.120995757,0.0,96.0,24,10.68380077
"Adani Enterprises Ltd","ADANIENT","Commodities Trading",442777.4765,3878.4,570.1780629,13.52326532,1.797333028,70432.69,952.05,175.49,-0.35433316,-0.232471263,-0.524396151,0.34966106,0.0,0,-9.447194719
"ITC Ltd","ITC","FMCG - Tobacco",421780.4532,342.3,27.67105303,7.015923613,13.57888561,62521.92,20740.47,5497.81,-0.424529777,30.01154634,-0.412179825,0.0,91.17647059,31,16.12620508
"Bajaj Finance Ltd","BAJFINANCE","Consumer Finance",409206.0719,6734.15,58.22320441,25.92625384,-10.19079715,31640.41,9503.78,2475.55,0.128312271,0.517871095,0.321435916,7.1e-06,57.14285714,16,23.40087465
"Life Insurance Corporation Of India","LICI","Insurance",398128.9064,636.8,96.52288437,0.0,11.71581862,724744.32,12137.88,8013.17,-0.148994046,0.052610754,-0.104769129,0.0,81.81818182,9,33.4798995
"Adani Total Gas Ltd","ATGL","Gas Distribution",396279.6026,3600.0,777.9340452,22.25434156,0.0,3079.31,679.04,169.64,0.225667144,-0.119581464,0.005922568,0.0,0.0,0,0.0
"Kotak Mahindra Bank Ltd","KOTAKBANK","Private Banks",383187.9224,1925.55,31.69619025,11.68405012,-55.6115975,59051.01,15948.31,3858.91,2.678106142,0.375849701,0.937970615,-0.00573808,60.0,24,9.059749163
"Adani Green Energy Ltd","ADANIGREEN","Renewable Energy",315159.6293,2012.05,644.4982194,57.51048975,29.71995746,5642.0,553.0,64.0,0.286181569,-0.660804633,-0.018115348,0.252526388,0.0,0,-68.78805199
"Adani Transmission Ltd","ADANITRANS","Power Infrastructure",302817.6319,2782.7,251.3822996,34.05185011,-0.552776879,12543.94,1700.49,495.88,0.162036473,-0.075577905,-0.02171973,8.96e-06,100.0,2,6.569159449
"HCL Technologies Ltd","HCLTECH","IT Services & Consulting",302730.9039,1128.95,22.4261726,12.25812401,15.81332595,86718.0,16951.0,3452.0,0.997893736,-0.734165171,-0.198957786,0.0,66.66666667,26,-2.564329687
"Asian Paints Ltd","ASIANPAINT","Paints",301983.2488,3135.05,99.64569332,10.85797049,20.4181838,29512.86,4187.72,1157.15,0.364966229,0.053731045,0.176820466,0.0,41.66666667,15,7.334811247
"Larsen & Toubro Ltd","LT","Construction & Engineering",289970.5653,2050.55,33.44786337,7.425273362,13.74876609,158885.24,14507.66,5838.33,6.005942205,1.024173075,-0.310215229,0.0,97.22222222,35,11.53105264
"Axis Bank Ltd","AXISBANK","Private Banks",273949.7378,892.55,19.40251513,8.376579249,-33.17701496,86114.19,18929.46,4810.17,0.788043668,-0.458778869,0.467750302,-0.01593804,95.12195122,39,17.64046832
"Maruti Suzuki India Ltd","MARUTI","Four Wheelers",271281.4867,8985.4,69.92692013,5.046152352,30.62189981,90236.4,4697.2,817.7,0.151806445,-0.047783359,1.216558286,0.0,69.56521739,32,19.69417054
"Bajaj Finserv Ltd","BAJAJFINSV","Insurance",262701.2313,1632.0,57.65075511,22.80049677,12.19410342,68438.98,11270.58,6713.81,-0.421652509,-0.172327559,-0.573626008,-0.054989095,66.66666667,6,5.085785539
"Avenue Supermarts Ltd","DMART","Retail - Department Stores",252991.467,3965.1,169.5028421,21.12500105,41.66282881,31093.76,2064.12,571.57,0.188843284,0.126395645,0.018650312,0.0,34.61538462,9,5.924188545
"Sun Pharmaceutical Industries Ltd","SUNPHARMA","Pharmaceuticals",248134.4142,1049.85,75.81878561,4.291319529,9.973178931,39729.96,4481.32,1208.59,0.04864052,1.05035084,0.380370524,0.0,89.18918919,33,10.19193218
"Titan Company Ltd","TITAN","Precious Metals, Jewellery & Watches",230009.586,2613.75,105.8488661,16.84638621,28.13746426,29033.0,2904.0,731.0,0.639411522,0.268240383,-0.217967579,0.0,73.33333333,22,14.77761836
"Wipro Ltd","WIPRO","IT Services & Consulting",221956.8325,405.15,18.14914899,6.981948129,11.55287181,81378.9,15140.8,2911.2,4.527733378,1.931862267,-0.430424435,-0.042514541,22.5,9,2.801431569
"UltraTech Cement Ltd","ULTRACEMCO","Cement",198584.6413,6928.9,27.03925097,15.40431023,15.27427402,53268.26,8524.32,1180.01,-0.754776259,1.451925528,-0.119697809,-0.000225568,88.0952381,37,9.902004647
"Nestle India Ltd","NESTLEIND","FMCG - Foods",190946.83,20121.2,89.02531167,9.749666214,13.78284665,14829.52,2883.77,738.91,-0.270021331,0.39723192,0.025125572,0.0,60.0,21,4.367532752
"Adani Ports and Special Economic Zone Ltd","ADANIPORTS","Ports",189685.2531,878.2,40.1187907,14.03716337,10.12604627,18281.66,5541.16,813.07,0.0,0.0,0.0,0.0,90.90909091,20,8.061944887
"Oil and Natural Gas Corporation Ltd","ONGC","Oil & Gas - Exploration & Production",175523.9488,140.25,3.855794696,11.11983335,34.03246465,500171.36,54091.11,8568.99,0.708898551,-1.011953105,0.760270439,8.74e-07,72.0,18,23.70766488
"JSW Steel Ltd","JSWSTEEL","Iron & Steel",171848.3251,732.55,8.315912174,21.69517358,8.986789321,148819.0,29745.0,9080.0,0.174814176,0.139954675,-0.504914645,0.176028629,13.79310345,4,-18.70862057
"NTPC Ltd","NTPC","Power Generation",165140.1656,170.15,9.902923716,10.44560117,3.325336777,137580.05,22007.39,5331.49,-0.014193022,0.947843122,0.284715794,0.0,95.65217391,22,16.66176903
"Tata Motors Ltd","TATAMOTORS","Four Wheelers",155685.53,433.15,-13.60712653,0.724850267,15.85998739,281617.5,-7003.41,4438.06,-0.344772816,0.425987268,-0.290284662,-0.003673424,67.74193548,21,15.89518643
"Power Grid Corporation of India Ltd","POWERGRID","Power Transmission & Distribution",154281.7317,219.35,9.170297777,11.71390495,-6.296212139,46341.99,19609.64,2785.57,-1.365323454,1.445393783,-0.127414838,0.0,77.27272727,17,13.97310235
"Tata Motors Ltd","TATAMTRDVR","Four Wheelers",151860.1149,227.45,-11.61682372,0.0,20.08654265,252437.94,-10473.28,2599.15,5.21455103,0.401344224,2.875233183,0.0,100.0,1,20.56870495
"Mahindra and Mahindra Ltd","M&M","Four Wheelers",149460.4496,1250.7,22.72360925,1.731772999,-13.56097633,93545.23,9361.77,2784.45,-0.41848104,0.332816924,0.195650988,-0.062890822,88.0952381,37,20.17270329
"Coal India Ltd","COALINDIA","Mining - Coal",141572.2759,227.2,8.155977665,6.356694071,15.13173703,113618.02,23616.28,6258.18,0.031226559,0.190387997,-0.08832807,0.0,72.72727273,16,19.05809859
