Company_Name,Ticker,Sub_Sector,Market_Cap,Close_Price,PE_Ratio,5Y_Historical_Revenue_Growth,1Y_Forward_Revenue_Growth,Total_Revenue,PBT,Taxes_And_Other_Items,DII_Holding_Change_3M,FII_Holding_Change_3M,MF_Holding_Change_3M,Promoter_Holding_Change_3M,Percentage_Buy_Records,No_Of_Analysts_With_Buy_Reco,Percentage Upside,Net_Profit,Profit_Margin,PS_Ratio,Earnings_Yield,Revenue_Growth,Total_Institutional_Holding_Change,Change_Retail_Holding,Composite_Score
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1778090.092,2712.2,29.29066951,17.9364979,30.53551161,718061,84142,23437,0.321531688,-0.314310575,0.04011194,-0.048110864,77.41935484,24,3.163483519,60705,11.71794597,2.476238219,0.047321562,NULL,0.047333053,0.000777811,NULL
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1241655.017,3397.35,32.39635288,9.886695907,13.29505752,195772,51687,13360,0.224108933,-0.442994682,-0.039568698,0,51.2195122,21,1.549737295,38327,26.40163047,6.342352415,0.041627505,-0.72736021,-0.258454447,0.258454447,-1.745134267
HDFC Bank Ltd,HDFCBANK,Private Banks,891794.7543,1597.85,23.43575048,14.24219272,-27.60081708,167695.4,50873.38,12820.63,0.595936259,-0.183021442,-0.025811549,-0.087276142,91.89189189,34,14.21597772,38052.75,30.33677728,5.317944048,0.057046063,-0.143414789,0.387103268,-0.299827126,1.786178819
Infosys Ltd,INFY,IT Services & Consulting,680667.9124,1629.05,30.78552295,11.61870846,18.12891331,123936,30110,8000,9.126799211,-0.422683485,0.230754336,-0.000644447,80.95238095,34,2.974126024,22110,24.29479731,5.492091986,0.044235962,-0.260945739,8.934870062,-8.934225615,0.545799672
ICICI Bank Ltd,ICICIBANK,Private Banks,653338.2571,946.75,26.0189325,6.796087786,-49.98364187,157536.32,34241.28,9131.17,-0.531888286,1.21607929,-0.398559905,0,97.5,39,14.4969633,25110.11,21.73548297,4.147223047,0.052409727,0.27111025,0.285631099,-0.285631099,-0.931677046
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,592991.9281,2634.2,66.78589121,9.348279577,10.75163197,52887,11879,3000,-0.445644192,0.738666392,0.063047221,0,71.79487179,28,8.382051477,8879,22.4610963,11.2124327,0.020032313,-0.66428694,0.356069421,-0.356069421,-11.15825311
State Bank of India,SBIN,Public Banks,542852.6495,608.55,15.34614381,6.385751271,-32.3123937,406973.09,49738.63,14364.75,0.309808066,0.335333395,0.113967958,-0.047525281,95.23809524,40,17.49239997,35373.88,12.22160168,1.333878487,0.091624551,6.695144175,0.759109419,-0.711584138,1.082427866
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,483495.4801,835.85,113.6326306,4.135738484,13.88752331,122048.4,12483.1,8228.2,-1.331374456,3.339041962,-1.404902995,-0.799122895,80,24,10.30687324,4254.9,10.22799152,3.961506092,0.025818442,-0.700106953,0.602764511,0.196358384,-25.87549538
Housing Development Finance Corporation Ltd,HDFC,Home Financing,483449.4696,2665.25,21.3965967,18.86273518,-83.89215365,144937.87,28251.82,5657.13,0.066225345,0.024778902,-0.120995757,0,96,24,10.68380077,22594.69,19.49236594,3.335563505,0.058438,0.187544204,-0.02999151,0.02999151,-0.436669518
Adani Enterprises Ltd,ADANIENT,Commodities Trading,442777.4765,3878.4,570.1780629,13.52326532,1.797333028,70432.69,952.05,175.49,-0.35433316,-0.232471263,-0.524396151,0.34966106,0,0,-9.447194719,776.56,1.351716085,6.286533661,0.002150177,-0.514049089,-1.111200574,0.761539514,-142.6128991
ITC Ltd,ITC,FMCG - Tobacco,421780.4532,342.3,27.67105303,7.015923613,13.57888561,62521.92,20740.47,5497.81,-0.424529777,30.01154634,-0.412179825,0,91.17647059,31,16.12620508,15242.66,33.17311752,6.746121252,0.049173616,-0.112316738,29.17483674,-29.17483674,8.641146124
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,409206.0719,6734.15,58.22320441,25.92625384,-10.19079715,31640.41,9503.78,2475.55,0.128312271,0.517871095,0.321435916,7.10E-06,57.14285714,16,23.40087465,7028.23,30.03684213,12.93302052,0.023224924,-0.493930929,0.967619282,-0.967626382,-6.928168482
Life Insurance Corporation Of India,LICI,Insurance,398128.9064,636.8,96.52288437,0,11.71581862,724744.32,12137.88,8013.17,-0.148994046,0.052610754,-0.104769129,0,81.81818182,9,33.4798995,4124.71,1.674780977,0.54933705,0.030487312,21.90565514,-0.201152421,0.201152421,-18.28590017
Adani Total Gas Ltd,ATGL,Gas Distribution,396279.6026,3600,777.9340452,22.25434156,0,3079.31,679.04,169.64,0.225667144,-0.119581464,0.005922568,0,0,0,0,509.4,22.0516934,128.6910388,0.001713538,-0.995751177,0.112008248,-0.112008248,-189.1915237
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,383187.9224,1925.55,31.69619025,11.68405012,-55.6115975,59051.01,15948.31,3858.91,2.678106142,0.375849701,0.937970615,-0.00573808,60,24,9.059749163,12089.4,27.0076837,6.489100227,0.041620075,18.17670192,3.991926458,-3.986188378,4.370030457
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,315159.6293,2012.05,644.4982194,57.51048975,29.71995746,5642,553,64,0.286181569,-0.660804633,-0.018115348,0.252526388,0,0,-68.78805199,489,9.801488834,55.85955854,0.001754666,-0.904455487,-0.392738412,0.140212024,-158.9984811
Adani Transmission Ltd,ADANITRANS,Power Infrastructure,302817.6319,2782.7,251.3822996,34.05185011,-0.552776879,12543.94,1700.49,495.88,0.162036473,-0.075577905,-0.02171973,8.96E-06,100,2,6.569159449,1204.61,13.55626701,24.14055168,0.005615558,1.223314428,0.064738838,-0.064747798,-59.13449483
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,302730.9039,1128.95,22.4261726,12.25812401,15.81332595,86718,16951,3452,0.997893736,-0.734165171,-0.198957786,0,66.66666667,26,-2.564329687,13499,19.54726816,3.490981156,0.055993623,5.913138934,0.064770779,-0.064770779,0.774751317
Asian Paints Ltd,ASIANPAINT,Paints,301983.2488,3135.05,99.64569332,10.85797049,20.4181838,29512.86,4187.72,1157.15,0.364966229,0.053731045,0.176820466,0,41.66666667,15,7.334811247,3030.57,14.18947537,10.23225973,0.013867392,-0.659668581,0.59551774,-0.59551774,-21.3800922
Larsen & Toubro Ltd,LT,Construction & Engineering,289970.5653,2050.55,33.44786337,7.425273362,13.74876609,158885.24,14507.66,5838.33,6.005942205,1.024173075,-0.310215229,0,97.22222222,35,11.53105264,8669.33,9.130904796,1.825031484,0.050031492,4.383593457,6.719900051,-6.719900051,-3.303366266
Axis Bank Ltd,AXISBANK,Private Banks,273949.7378,892.55,19.40251513,8.376579249,-33.17701496,86114.19,18929.46,4810.17,0.788043668,-0.458778869,0.467750302,-0.01593804,95.12195122,39,17.64046832,14119.29,21.98181275,3.181238049,0.069098296,-0.458010134,0.797015101,-0.781077061,0.729575648
Maruti Suzuki India Ltd,MARUTI,Four Wheelers,271281.4867,8985.4,69.92692013,5.046152352,30.62189981,90236.4,4697.2,817.7,0.151806445,-0.047783359,1.216558286,0,69.56521739,32,19.69417054,3879.5,5.20543816,3.006342083,0.017314856,0.047869114,1.320581372,-1.320581372,-15.83825787
Bajaj Finserv Ltd,BAJAJFINSV,Insurance,262701.2313,1632,57.65075511,22.80049677,12.19410342,68438.98,11270.58,6713.81,-0.421652509,-0.172327559,-0.573626008,-0.054989095,66.66666667,6,5.085785539,4556.77,16.46807127,3.838473795,0.042902654,-0.24155906,-1.167606076,1.222595171,-10.64796225
